File_name;Station;Treatment;Month;Tank_ID;Animal_ID;Measurement;Length;Measurement_quality;Comment
BB23_15_2024_06_19_01.tif;BB23;15;6;BB23_15;BB23_15_01;BB23_15_01_a;817.546;;
;BB23;15;6;BB23_15;BB23_15_01;BB23_15_01_b;818.874;;
;BB23;15;6;BB23_15;BB23_15_01;BB23_15_01_c;817.293;;
BB23_15_2024_06_19_02.tif;BB23;15;6;BB23_15;BB23_15_02;BB23_15_02_a;771.153;;
;BB23;15;6;BB23_15;BB23_15_02;BB23_15_02_b;777.335;;
;BB23;15;6;BB23_15;BB23_15_02;BB23_15_02_c;774.586;;
BB23_15_2024_06_19_03.tif;BB23;15;6;BB23_15;BB23_15_03;BB23_15_03_a;835.869;;
;BB23;15;6;BB23_15;BB23_15_03;BB23_15_03_b;834.779;;
;BB23;15;6;BB23_15;BB23_15_03;BB23_15_03_c;833.144;;
BB23_15_2024_06_19_04.tif;BB23;15;6;BB23_15;BB23_15_04;BB23_15_04_a;767.686;;
;BB23;15;6;BB23_15;BB23_15_04;BB23_15_04_b;766.115;;
;BB23;15;6;BB23_15;BB23_15_04;BB23_15_04_c;767.324;;
BB23_15_2024_06_19_05.tif;BB23;15;6;BB23_15;BB23_15_05;BB23_15_05_a;883.434;;
;BB23;15;6;BB23_15;BB23_15_05;BB23_15_05_b;882.101;;
;BB23;15;6;BB23_15;BB23_15_05;BB23_15_05_c;889.936;;
BB23_15_2024_06_19_06.tif;BB23;15;6;BB23_15;BB23_15_06;BB23_15_06_a;724.225;;
;BB23;15;6;BB23_15;BB23_15_06;BB23_15_06_b;719.079;;
;BB23;15;6;BB23_15;BB23_15_06;BB23_15_06_c;722.112;;
BB23_15_2024_06_19_07.tif;BB23;15;6;BB23_15;BB23_15_07;BB23_15_07_a;876.776;;
;BB23;15;6;BB23_15;BB23_15_07;BB23_15_07_b;879.116;;
;BB23;15;6;BB23_15;BB23_15_07;BB23_15_07_c;877.827;;
BB23_15_2024_06_19_08.tif;BB23;15;6;BB23_15;BB23_15_08;BB23_15_08_a;832.162;;
;BB23;15;6;BB23_15;BB23_15_08;BB23_15_08_b;837.749;;
;BB23;15;6;BB23_15;BB23_15_08;BB23_15_08_c;834.759;;
BB23_15_2024_06_19_09.tif;BB23;15;6;BB23_15;BB23_15_09;BB23_15_09_a;851.291;;
;BB23;15;6;BB23_15;BB23_15_09;BB23_15_09_b;851.766;;
;BB23;15;6;BB23_15;BB23_15_09;BB23_15_09_c;848.232;;
BB23_15_2024_06_19_10.tif;BB23;15;6;BB23_15;BB23_15_10;BB23_15_10_a;772.773;;
;BB23;15;6;BB23_15;BB23_15_10;BB23_15_10_b;777.818;;
;BB23;15;6;BB23_15;BB23_15_10;BB23_15_10_c;776.043;;
BB23_15_2024_06_19_11.tif;BB23;15;6;BB23_15;BB23_15_11;BB23_15_11_a;846.244;;
;BB23;15;6;BB23_15;BB23_15_11;BB23_15_11_b;846.194;;
;BB23;15;6;BB23_15;BB23_15_11;BB23_15_11_c;846.062;;
BB23_5_2024_06_19_01.tif;BB23;5;6;BB23_5;BB23_5_01;BB23_5_01_a;744.128;;
;BB23;5;6;BB23_5;BB23_5_01;BB23_5_01_b;745.209;;
;BB23;5;6;BB23_5;BB23_5_01;BB23_5_01_c;748.651;;
BB23_5_2024_06_19_02.tif;BB23;5;6;BB23_5;BB23_5_02;BB23_5_02_a;842.802;;
;BB23;5;6;BB23_5;BB23_5_02;BB23_5_02_b;845.053;;
;BB23;5;6;BB23_5;BB23_5_02;BB23_5_02_c;840.781;;
BB23_5_2024_06_19_03.tif;BB23;5;6;BB23_5;BB23_5_03;BB23_5_03_a;751.844;;
;BB23;5;6;BB23_5;BB23_5_03;BB23_5_03_b;761.07;;
;BB23;5;6;BB23_5;BB23_5_03;BB23_5_03_c;755.948;;
BB23_5_2024_06_19_04.tif;BB23;5;6;BB23_5;BB23_5_04;BB23_5_04_a;755.468;;
;BB23;5;6;BB23_5;BB23_5_04;BB23_5_04_b;757.461;;
;BB23;5;6;BB23_5;BB23_5_04;BB23_5_04_c;752.763;;
BB23_5_2024_06_19_05.tif;BB23;5;6;BB23_5;BB23_5_05;BB23_5_05_a;824.253;;
;BB23;5;6;BB23_5;BB23_5_05;BB23_5_05_b;826.404;;
;BB23;5;6;BB23_5;BB23_5_05;BB23_5_05_c;827.953;;
BB23_5_2024_06_19_06.tif;BB23;5;6;BB23_5;BB23_5_06;BB23_5_06_a;802.615;;
;BB23;5;6;BB23_5;BB23_5_06;BB23_5_06_b;801.711;;
;BB23;5;6;BB23_5;BB23_5_06;BB23_5_06_c;803.203;;
BB23_5_2024_06_19_07.tif;BB23;5;6;BB23_5;BB23_5_07;BB23_5_07_a;858.089;;
;BB23;5;6;BB23_5;BB23_5_07;BB23_5_07_b;857.014;;
;BB23;5;6;BB23_5;BB23_5_07;BB23_5_07_c;859.954;;
BB23_5_2024_06_19_08.tif;BB23;5;6;BB23_5;BB23_5_08;BB23_5_08_a;799.208;;
;BB23;5;6;BB23_5;BB23_5_08;BB23_5_08_b;801.207;;
;BB23;5;6;BB23_5;BB23_5_08;BB23_5_08_c;798.158;;
BB23_5_2024_06_19_09.tif;BB23;5;6;BB23_5;BB23_5_09;BB23_5_09_a;828.029;;
;BB23;5;6;BB23_5;BB23_5_09;BB23_5_09_b;827.245;;
